v1,v2,edge_name,edge_color
BARAJAS,AEROPUERTO T4,8,#EC82B1
MANUELA MALASAÑA,LORANCA,12,#A49800
MANUELA MALASAÑA,HOSPITAL DE MOSTOLES,12,#A49800
LA ELIPA,LA ALMUDENA,2,#ED1C24
LA ELIPA,VENTAS,2,#ED1C24
O'DONNELL,SAINZ DE BARANDA,6,#98989B
O'DONNELL,MANUEL BECERRA,6,#98989B
HENARES,HOSPITAL DEL HENARES,7,#EE7518
HENARES,JARAMA,7,#EE7518
LAVAPIES,EMBAJADORES,3,#FFD000
LAVAPIES,SOL,3,#FFD000
VICALVARO,VALDEBERNARDO,9,#A60084
VICALVARO,SAN CIPRIANO,9,#A60084
ALONSO CANO,GREGORIO MARAÑON,7,#EE7518
ALONSO CANO,CANAL,7,#EE7518
ABRANTES,PLAZA ELIPTICA,11,#009B3A
ABRANTES,PAN BENDITO,11,#009B3A
SAN CRISTOBAL,VILLAVERDE ALTO,3,#FFD000
SAN CRISTOBAL,VILLAVERDE BAJO-CRUCE,3,#FFD000
FUENLABRADA CENTRAL,PARQUE DE LOS ESTADOS,12,#A49800
FUENLABRADA CENTRAL,PARQUE EUROPA,12,#A49800
LA MORALEJA,MARQUES DE LA VALDAVIA,10,#005AA9
LA MORALEJA,LA GRANJA,10,#005AA9
DUQUE DE PASTRANA,PLAZA DE CASTILLA,9,#A60084
DUQUE DE PASTRANA,PIO XII,9,#A60084
