v1,v2,edge_name,edge_color,travel_seconds
TRES OLIVOS,FUENCARRAL,10,#005AA9,225
FUENCARRAL,TRES OLIVOS,10,#005AA9,225
RETIRO,PRINCIPE DE VERGARA,2,#ED1C24,228
HOSPITAL 12 DE OCTUBRE,SAN FERMIN-ORCASUR,3,#FFD000,228
MAR DE CRISTAL,SAN LORENZO,4,#B65518,228
SAN FERMIN-ORCASUR,HOSPITAL 12 DE OCTUBRE,3,#FFD000,228
PRINCIPE DE VERGARA,RETIRO,2,#ED1C24,228
SAN LORENZO,MAR DE CRISTAL,4,#B65518,228
CALLAO,PLAZA DE ESPAÑA,3,#FFD000,229
GOYA,VELAZQUEZ,4,#B65518,229
PLAZA DE ESPAÑA,CALLAO,3,#FFD000,229
PLAZA DE ESPAÑA,TRIBUNAL,10,#005AA9,229
VELAZQUEZ,GOYA,4,#B65518,229
TRIBUNAL,PLAZA DE ESPAÑA,10,#005AA9,229
SERRANO,COLON,4,#B65518,230
COLON,SERRANO,4,#B65518,230
CAMPAMENTO,EMPALME,5,#8FD400,232
EMPALME,CAMPAMENTO,5,#8FD400,232
MANUEL BECERRA,O'DONNELL,6,#98989B,232
PUERTA DEL SUR,JOAQUIN VILUMBRALES,10,#005AA9,233
AVENIDA DE AMERICA,DIEGO DE LEON,4,#B65518,233
AVENIDA DE AMERICA,DIEGO DE LEON,6,#98989B,233
DIEGO DE LEON,AVENIDA DE AMERICA,4,#B65518,233
DIEGO DE LEON,AVENIDA DE AMERICA,6,#98989B,233
JOAQUIN VILUMBRALES,PUERTA DEL SUR,10,#005AA9,233
METROPOLITANO,GUZMAN EL BUENO,6,#98989B,236
MANOTERAS,PINAR DE CHAMARTIN,4,#B65518,237
PINAR DE CHAMARTIN,MANOTERAS,4,#B65518,237
CALLAO,OPERA,5,#8FD400,238
OPERA,CALLAO,5,#8FD400,238
ARGANZUELA-PLANETARIO,LEGAZPI,6,#98989B,239
CHUECA,GRAN VIA,5,#8FD400,239
GRAN VIA,CHUECA,5,#8FD400,239
VENTAS,MANUEL BECERRA,2,#ED1C24,240
MANUEL BECERRA,VENTAS,2,#ED1C24,240
GOYA,LISTA,4,#B65518,241
LISTA,GOYA,4,#B65518,241
LISTA,DIEGO DE LEON,4,#B65518,241
DIEGO DE LEON,LISTA,4,#B65518,241
GREGORIO MARAÑON,ALONSO CANO,7,#EE7518,242
GOYA,MANUEL BECERRA,2,#ED1C24,242
LAGUNA,LUCERO,6,#98989B,242
NUEVOS MINISTERIOS,SANTIAGO BERNABEU,10,#005AA9,242
CIUDAD UNIVERSITARIA,METROPOLITANO,6,#98989B,242
MANUEL BECERRA,GOYA,2,#ED1C24,242
SANTIAGO BERNABEU,NUEVOS MINISTERIOS,10,#005AA9,242
ALONSO CANO,GREGORIO MARAÑON,7,#EE7518,242
PLAZA ELIPTICA,OPAÑEL,6,#98989B,243
ATOCHA,ATOCHA-RENFE,1,#2DBEF0,243
ATOCHA-RENFE,ATOCHA,1,#2DBEF0,243
CUZCO,SANTIAGO BERNABEU,10,#005AA9,243
SANTIAGO BERNABEU,CUZCO,10,#005AA9,243
QUINTANA,PUEBLO NUEVO,5,#8FD400,244
PUEBLO NUEVO,QUINTANA,5,#8FD400,244
GRAN VIA,SOL,1,#2DBEF0,245
SOL,GRAN VIA,1,#2DBEF0,245
PIRAMIDES,ACACIAS,5,#8FD400,246
ACACIAS,PIRAMIDES,5,#8FD400,246
MONTECARMELO,TRES OLIVOS,10,#005AA9,247
ANTONIO MACHADO,PEÑAGRANDE,7,#EE7518,247
PEÑAGRANDE,ANTONIO MACHADO,7,#EE7518,247
SAN BERNARDO,NOVICIADO,2,#ED1C24,247
TRES OLIVOS,MONTECARMELO,10,#005AA9,247
CIUDAD LINEAL,PUEBLO NUEVO,5,#8FD400,247
NOVICIADO,SAN BERNARDO,2,#ED1C24,247
O'DONNELL,MANUEL BECERRA,6,#98989B,247
PUEBLO NUEVO,CIUDAD LINEAL,5,#8FD400,247
VICALVARO,SAN CIPRIANO,9,#A60084,248
SAN CIPRIANO,VICALVARO,9,#A60084,248
CONDE DE CASAL,PACIFICO,6,#98989B,248
GREGORIO MARAÑON,NUEVOS MINISTERIOS,10,#005AA9,249
GUZMAN EL BUENO,CUATRO CAMINOS,6,#98989B,249
NUEVOS MINISTERIOS,GREGORIO MARAÑON,10,#005AA9,249
DIEGO DE LEON,MANUEL BECERRA,6,#98989B,250
LA GAVIA,LAS SUERTES,1,#2DBEF0,250
LAS SUERTES,LA GAVIA,1,#2DBEF0,250
PLAZA DE CASTILLA,CHAMARTIN,1,#2DBEF0,251
PLAZA DE CASTILLA,CHAMARTIN,10,#005AA9,251
CUATRO CAMINOS,NUEVOS MINISTERIOS,6,#98989B,251
CHAMARTIN,PLAZA DE CASTILLA,1,#2DBEF0,251
CHAMARTIN,PLAZA DE CASTILLA,10,#005AA9,251
GUZMAN EL BUENO,METROPOLITANO,6,#98989B,251
AVENIDA DE LA PAZ,ALFONSO XIII,4,#B65518,252
MAR DE CRISTAL,CANILLAS,4,#B65518,252
CANILLAS,MAR DE CRISTAL,4,#B65518,252
O'DONNELL,SAINZ DE BARANDA,6,#98989B,252
ALFONSO XIII,AVENIDA DE LA PAZ,4,#B65518,252
CARABANCHEL,EUGENIA DE MONTIJO,5,#8FD400,252
EUGENIA DE MONTIJO,CARABANCHEL,5,#8FD400,252
LA LATINA,PUERTA DE TOLEDO,5,#8FD400,253
PUERTA DE TOLEDO,LA LATINA,5,#8FD400,253
CARTAGENA,PARQUE DE LAS AVENIDAS,7,#EE7518,254
PLAZA DE CASTILLA,CUZCO,10,#005AA9,254
CUZCO,PLAZA DE CASTILLA,10,#005AA9,254
CUATRO CAMINOS,CANAL,2,#ED1C24,254
LEGAZPI,ARGANZUELA-PLANETARIO,6,#98989B,254
CANAL,CUATRO CAMINOS,2,#ED1C24,254
ASCAO,PUEBLO NUEVO,7,#EE7518,254
PUEBLO NUEVO,ASCAO,7,#EE7518,254
PARQUE DE LAS AVENIDAS,CARTAGENA,7,#EE7518,254
MENDEZ ALVARO,ARGANZUELA-PLANETARIO,6,#98989B,255
QUEVEDO,CANAL,2,#ED1C24,255
CANAL,QUEVEDO,2,#ED1C24,255
CARTAGENA,AVENIDA DE AMERICA,7,#EE7518,256
AVENIDA DE AMERICA,CARTAGENA,7,#EE7518,256
PRINCIPE PIO,PLAZA DE ESPAÑA,10,#005AA9,257
METROPOLITANO,CIUDAD UNIVERSITARIA,6,#98989B,257
DELICIAS,LEGAZPI,3,#FFD000,257
LUCERO,LAGUNA,6,#98989B,257
PLAZA DE ESPAÑA,PRINCIPE PIO,10,#005AA9,257
LEGAZPI,DELICIAS,3,#FFD000,257
EMBAJADORES,PALOS DE LA FRONTERA,3,#FFD000,258
PALOS DE LA FRONTERA,EMBAJADORES,3,#FFD000,258
OPAÑEL,PLAZA ELIPTICA,6,#98989B,258
BATAN,CASA DE CAMPO,10,#005AA9,258
CASA DE CAMPO,BATAN,10,#005AA9,258
ISLAS FILIPINAS,CANAL,7,#EE7518,259
RETIRO,BANCO DE ESPAÑA,2,#ED1C24,259
BANCO DE ESPAÑA,RETIRO,2,#ED1C24,259
VISTA ALEGRE,CARABANCHEL,5,#8FD400,259
CARABANCHEL,VISTA ALEGRE,5,#8FD400,259
CANAL,ISLAS FILIPINAS,7,#EE7518,259
SAINZ DE BARANDA,CONDE DE CASAL,6,#98989B,260
PARQUE DE SANTA MARIA,SAN LORENZO,4,#B65518,261
SAN LORENZO,PARQUE DE SANTA MARIA,4,#B65518,261
PLAZA DE CASTILLA,DUQUE DE PASTRANA,9,#A60084,262
GARCIA NOBLEJAS,ASCAO,7,#EE7518,262
DUQUE DE PASTRANA,PLAZA DE CASTILLA,9,#A60084,262
ASCAO,GARCIA NOBLEJAS,7,#EE7518,262
CUATRO CAMINOS,ALVARADO,1,#2DBEF0,263
ALVARADO,CUATRO CAMINOS,1,#2DBEF0,263
PACIFICO,CONDE DE CASAL,6,#98989B,263
URGEL,OPORTO,5,#8FD400,264
RUBEN DARIO,NUÑEZ DE BALBOA,5,#8FD400,264
CUATRO VIENTOS,AVIACION ESPAÑOLA,10,#005AA9,264
CUATRO CAMINOS,GUZMAN EL BUENO,6,#98989B,264
AVIACION ESPAÑOLA,CUATRO VIENTOS,10,#005AA9,264
OPORTO,URGEL,5,#8FD400,264
NUÑEZ DE BALBOA,RUBEN DARIO,5,#8FD400,264
PACIFICO,MENDEZ ALVARO,6,#98989B,264
EMPALME,ALUCHE,5,#8FD400,265
NUÑEZ DE BALBOA,DIEGO DE LEON,5,#8FD400,265
DIEGO DE LEON,NUÑEZ DE BALBOA,5,#8FD400,265
ALUCHE,EMPALME,5,#8FD400,265
MANUEL BECERRA,DIEGO DE LEON,6,#98989B,265
SAN CIPRIANO,PUERTA DE ARGANDA,9,#A60084,266
BEGOÑA,CHAMARTIN,10,#005AA9,266
PUERTA DE ARGANDA,SAN CIPRIANO,9,#A60084,266
GARCIA NOBLEJAS,SIMANCAS,7,#EE7518,266
SIMANCAS,GARCIA NOBLEJAS,7,#EE7518,266
CHAMARTIN,BEGOÑA,10,#005AA9,266
NUEVOS MINISTERIOS,CUATRO CAMINOS,6,#98989B,266
REPUBLICA ARGENTINA,AVENIDA DE AMERICA,6,#98989B,267
SAINZ DE BARANDA,O'DONNELL,6,#98989B,267
PUENTE DE VALLECAS,NUEVA NUMANCIA,1,#2DBEF0,268
VENTAS,EL CARMEN,5,#8FD400,268
NUEVA NUMANCIA,PUENTE DE VALLECAS,1,#2DBEF0,268
EL CARMEN,VENTAS,5,#8FD400,268
BILBAO,TRIBUNAL,1,#2DBEF0,269
ALONSO MARTINEZ,CHUECA,5,#8FD400,269
CHUECA,ALONSO MARTINEZ,5,#8FD400,269
TRIBUNAL,BILBAO,1,#2DBEF0,269
ARGANZUELA-PLANETARIO,MENDEZ ALVARO,6,#98989B,270
SAN BLAS,SIMANCAS,7,#EE7518,270
SIMANCAS,SAN BLAS,7,#EE7518,270
QUINTANA,EL CARMEN,5,#8FD400,271
RUBEN DARIO,ALONSO MARTINEZ,5,#8FD400,271
ALONSO MARTINEZ,RUBEN DARIO,5,#8FD400,271
EL CARMEN,QUINTANA,5,#8FD400,271
TIRSO DE MOLINA,ANTON MARTIN,1,#2DBEF0,271
MANUEL DE FALLA,BAUNATAL,10,#005AA9,271
BAUNATAL,MANUEL DE FALLA,10,#005AA9,271
ANTON MARTIN,TIRSO DE MOLINA,1,#2DBEF0,271
PARQUE DE SANTA MARIA,HORTALEZA,4,#B65518,272
HORTALEZA,PARQUE DE SANTA MARIA,4,#B65518,272
LAS MUSAS,SAN BLAS,7,#EE7518,273
AVENIDA DE LA PAZ,ARTURO SORIA,4,#B65518,273
ARTURO SORIA,AVENIDA DE LA PAZ,4,#B65518,273
RONDA DE LA COMUNICACION,LAS TABLAS,10,#005AA9,273
MARQUES DE LA VALDAVIA,LA MORALEJA,10,#005AA9,273
LAS TABLAS,RONDA DE LA COMUNICACION,10,#005AA9,273
LA MORALEJA,MARQUES DE LA VALDAVIA,10,#005AA9,273
SAN BLAS,LAS MUSAS,7,#EE7518,273
COLOMBIA,PIO XII,9,#A60084,274
SIERRA DE GUADALUPE,VILLA DE VALLECAS,1,#2DBEF0,274
PIO XII,COLOMBIA,9,#A60084,274
ALMENDRALES,LEGAZPI,3,#FFD000,274
LUCERO,ALTO DE EXTREMADURA,6,#98989B,274
LEGAZPI,ALMENDRALES,3,#FFD000,274
VISTA ALEGRE,OPORTO,5,#8FD400,274
OPORTO,VISTA ALEGRE,5,#8FD400,274
VILLA DE VALLECAS,SIERRA DE GUADALUPE,1,#2DBEF0,274
VALDEZARZA,ANTONIO MACHADO,7,#EE7518,275
ANTONIO MACHADO,VALDEZARZA,7,#EE7518,275
CONCHA ESPINA,CRUZ DEL RAYO,9,#A60084,275
PLAZA DE CASTILLA,VALDEACEDERAS,1,#2DBEF0,275
CRUZ DEL RAYO,CONCHA ESPINA,9,#A60084,275
CRUZ DEL RAYO,AVENIDA DE AMERICA,9,#A60084,275
CUATRO CAMINOS,RIOS ROSAS,1,#2DBEF0,275
AVENIDA DE AMERICA,CRUZ DEL RAYO,9,#A60084,275
RIOS ROSAS,CUATRO CAMINOS,1,#2DBEF0,275
VALDEACEDERAS,PLAZA DE CASTILLA,1,#2DBEF0,275
CONDE DE CASAL,SAINZ DE BARANDA,6,#98989B,275
COLOMBIA,CONCHA ESPINA,9,#A60084,276
CONCHA ESPINA,COLOMBIA,9,#A60084,276
ALMENDRALES,HOSPITAL 12 DE OCTUBRE,3,#FFD000,276
HOSPITAL 12 DE OCTUBRE,ALMENDRALES,3,#FFD000,276
ALAMEDA DE OSUNA,EL CAPRICHO,5,#8FD400,276
EL CAPRICHO,ALAMEDA DE OSUNA,5,#8FD400,276
PROSPERIDAD,AVENIDA DE AMERICA,4,#B65518,277
AVENIDA DE AMERICA,NUÑEZ DE BALBOA,9,#A60084,277
AVENIDA DE AMERICA,PROSPERIDAD,4,#B65518,277
USERA,PLAZA ELIPTICA,6,#98989B,277
NUÑEZ DE BALBOA,AVENIDA DE AMERICA,9,#A60084,277
NUEVOS MINISTERIOS,REPUBLICA ARGENTINA,6,#98989B,277
PAN BENDITO,SAN FRANCISCO,11,#009B3A,278
MENENDEZ PELAYO,PACIFICO,1,#2DBEF0,278
ESTRECHO,ALVARADO,1,#2DBEF0,278
ALVARADO,ESTRECHO,1,#2DBEF0,278
PACIFICO,MENENDEZ PELAYO,1,#2DBEF0,278
SAN FRANCISCO,PAN BENDITO,11,#009B3A,278
URGEL,MARQUES DE VADILLO,5,#8FD400,279
MENDEZ ALVARO,PACIFICO,6,#98989B,279
PIRAMIDES,MARQUES DE VADILLO,5,#8FD400,279
MARQUES DE VADILLO,PIRAMIDES,5,#8FD400,279
MARQUES DE VADILLO,URGEL,5,#8FD400,279
OPERA,LA LATINA,5,#8FD400,280
PIO XII,DUQUE DE PASTRANA,9,#A60084,280
BARRIO DE LA CONCEPCION,PARQUE DE LAS AVENIDAS,7,#EE7518,280
LA LATINA,OPERA,5,#8FD400,280
TORRE ARIAS,SUANZES,5,#8FD400,280
DUQUE DE PASTRANA,PIO XII,9,#A60084,280
SUANZES,TORRE ARIAS,5,#8FD400,280
PARQUE DE LAS AVENIDAS,BARRIO DE LA CONCEPCION,7,#EE7518,280
LEGAZPI,USERA,6,#98989B,281
TETUAN,VALDEACEDERAS,1,#2DBEF0,282
PORTAZGO,BUENOS AIRES,1,#2DBEF0,282
BUENOS AIRES,PORTAZGO,1,#2DBEF0,282
VALDECARROS,LAS SUERTES,1,#2DBEF0,282
AVENIDA DE AMERICA,REPUBLICA ARGENTINA,6,#98989B,282
VALDEACEDERAS,TETUAN,1,#2DBEF0,282
LAS SUERTES,VALDECARROS,1,#2DBEF0,282
SAN BERNARDO,ARGÜELLES,4,#B65518,283
RONDA DE LA COMUNICACION,LA GRANJA,10,#005AA9,283
ARGÜELLES,SAN BERNARDO,4,#B65518,283
LA GRANJA,RONDA DE LA COMUNICACION,10,#005AA9,283
LAVAPIES,SOL,3,#FFD000,284
GREGORIO MARAÑON,ALONSO MARTINEZ,10,#005AA9,284
ALONSO MARTINEZ,GREGORIO MARAÑON,10,#005AA9,284
REYES CATOLICOS,BAUNATAL,10,#005AA9,284
BAUNATAL,REYES CATOLICOS,10,#005AA9,284
SOL,LAVAPIES,3,#FFD000,284
ARTURO SORIA,ESPERANZA,4,#B65518,285
ESPERANZA,ARTURO SORIA,4,#B65518,285
PORTAZGO,NUEVA NUMANCIA,1,#2DBEF0,285
BARRIO DE LA CONCEPCION,PUEBLO NUEVO,7,#EE7518,285
NUEVA NUMANCIA,PORTAZGO,1,#2DBEF0,285
PUEBLO NUEVO,BARRIO DE LA CONCEPCION,7,#EE7518,285
PRINCIPE PIO,OPERA,R,#FFFFFF,286
OPERA,PRINCIPE PIO,R,#FFFFFF,286
MARQUES DE LA VALDAVIA,MANUEL DE FALLA,10,#005AA9,286
IBIZA,PRINCIPE DE VERGARA,9,#A60084,286
PRINCIPE DE VERGARA,IBIZA,9,#A60084,286
MANUEL DE FALLA,MARQUES DE LA VALDAVIA,10,#005AA9,286
ALTO DE EXTREMADURA,PUERTA DEL ANGEL,6,#98989B,287
PROSPERIDAD,ALFONSO XIII,4,#B65518,288
ALFONSO XIII,PROSPERIDAD,4,#B65518,288
ALTO DE EXTREMADURA,LUCERO,6,#98989B,289
PRINCIPE DE VERGARA,NUÑEZ DE BALBOA,9,#A60084,289
NUÑEZ DE BALBOA,PRINCIPE DE VERGARA,9,#A60084,289
ESTRELLA,SAINZ DE BARANDA,9,#A60084,292
PLAZA ELIPTICA,USERA,6,#98989B,292
REPUBLICA ARGENTINA,NUEVOS MINISTERIOS,6,#98989B,292
SAINZ DE BARANDA,ESTRELLA,9,#A60084,292
ALTO DEL ARENAL,MIGUEL HERNANDEZ,1,#2DBEF0,293
MIGUEL HERNANDEZ,ALTO DEL ARENAL,1,#2DBEF0,293
VINATEROS,ARTILLEROS,9,#A60084,294
ARTILLEROS,VINATEROS,9,#A60084,294
AVENIDA DE GUADALAJARA,LAS ROSAS,2,#ED1C24,296
AVENIDA DE GUADALAJARA,ALSACIA,2,#ED1C24,296
VILLAVERDE BAJO-CRUCE,SAN CRISTOBAL,3,#FFD000,296
PLAZA DE CASTILLA,VENTILLA,9,#A60084,296
ALSACIA,AVENIDA DE GUADALAJARA,2,#ED1C24,296
IBIZA,SAINZ DE BARANDA,9,#A60084,296
LAS ROSAS,AVENIDA DE GUADALAJARA,2,#ED1C24,296
USERA,LEGAZPI,6,#98989B,296
SAINZ DE BARANDA,IBIZA,9,#A60084,296
VENTILLA,PLAZA DE CASTILLA,9,#A60084,296
SAN CRISTOBAL,VILLAVERDE BAJO-CRUCE,3,#FFD000,296
SAN FERMIN-ORCASUR,CIUDAD DE LOS ANGELES,3,#FFD000,297
BUENOS AIRES,ALTO DEL ARENAL,1,#2DBEF0,297
CIUDAD DE LOS ANGELES,SAN FERMIN-ORCASUR,3,#FFD000,297
VENTAS,DIEGO DE LEON,5,#8FD400,297
DIEGO DE LEON,VENTAS,5,#8FD400,297
ALTO DEL ARENAL,BUENOS AIRES,1,#2DBEF0,297
PUERTA DE TOLEDO,ACACIAS,5,#8FD400,298
ACACIAS,PUERTA DE TOLEDO,5,#8FD400,298
ESTRELLA,VINATEROS,9,#A60084,299
VINATEROS,ESTRELLA,9,#A60084,299
GREGORIO MARAÑON,AVENIDA DE AMERICA,7,#EE7518,300
LA ELIPA,LA ALMUDENA,2,#ED1C24,300
LA ALMUDENA,LA ELIPA,2,#ED1C24,300
AVENIDA DE AMERICA,GREGORIO MARAÑON,7,#EE7518,300
TIRSO DE MOLINA,SOL,1,#2DBEF0,300
SOL,TIRSO DE MOLINA,1,#2DBEF0,300
ATOCHA,ANTON MARTIN,1,#2DBEF0,301
CASA DE CAMPO,COLONIA JARDIN,10,#005AA9,301
ANTON MARTIN,ATOCHA,1,#2DBEF0,301
COLONIA JARDIN,CASA DE CAMPO,10,#005AA9,301
PUERTA DEL ANGEL,ALTO DE EXTREMADURA,6,#98989B,302
PUERTA DEL ANGEL,PRINCIPE PIO,6,#98989B,303
PAN BENDITO,ABRANTES,11,#009B3A,303
ABRANTES,PAN BENDITO,11,#009B3A,303
GRAN VIA,TRIBUNAL,1,#2DBEF0,303
TRIBUNAL,GRAN VIA,1,#2DBEF0,303
ARTILLEROS,PAVONES,9,#A60084,304
PAVONES,ARTILLEROS,9,#A60084,304
ALUCHE,EUGENIA DE MONTIJO,5,#8FD400,304
EUGENIA DE MONTIJO,ALUCHE,5,#8FD400,304
BILBAO,IGLESIA,1,#2DBEF0,305
ATOCHA-RENFE,MENENDEZ PELAYO,1,#2DBEF0,305
PUENTE DE VALLECAS,PACIFICO,1,#2DBEF0,305
MENENDEZ PELAYO,ATOCHA-RENFE,1,#2DBEF0,305
PACIFICO,PUENTE DE VALLECAS,1,#2DBEF0,305
IGLESIA,BILBAO,1,#2DBEF0,305
LA PESETA,CARABANCHEL ALTO,11,#009B3A,306
PRADILLO,MOSTOLES CENTRAL,12,#A49800,306
FRANCOS RODRIGUEZ,GUZMAN EL BUENO,7,#EE7518,306
CARABANCHEL ALTO,LA PESETA,11,#009B3A,306
MOSTOLES CENTRAL,PRADILLO,12,#A49800,306
GUZMAN EL BUENO,FRANCOS RODRIGUEZ,7,#EE7518,306
HOSPITAL INFANTA SOFÍA,REYES CATOLICOS,10,#005AA9,307
CIUDAD LINEAL,SUANZES,5,#8FD400,307
SUANZES,CIUDAD LINEAL,5,#8FD400,307
REYES CATOLICOS,HOSPITAL INFANTA SOFÍA,10,#005AA9,307
BARRIO DEL PILAR,HERRERA ORIA,9,#A60084,308
HERRERA ORIA,BARRIO DEL PILAR,9,#A60084,308
PARQUE EUROPA,HOSPITAL DE FUENLABRADA,12,#A49800,310
RIOS ROSAS,IGLESIA,1,#2DBEF0,310
HOSPITAL DE FUENLABRADA,PARQUE EUROPA,12,#A49800,310
IGLESIA,RIOS ROSAS,1,#2DBEF0,310
PARQUE EUROPA,FUENLABRADA CENTRAL,12,#A49800,311
VILLAVERDE BAJO-CRUCE,CIUDAD DE LOS ANGELES,3,#FFD000,311
CIUDAD DE LOS ANGELES,VILLAVERDE BAJO-CRUCE,3,#FFD000,311
FUENLABRADA CENTRAL,PARQUE EUROPA,12,#A49800,311
CONGOSTO,LA GAVIA,1,#2DBEF0,312
LA GAVIA,CONGOSTO,1,#2DBEF0,312
CANILLEJAS,TORRE ARIAS,5,#8FD400,313
ALSACIA,LA ALMUDENA,2,#ED1C24,313
LA ALMUDENA,ALSACIA,2,#ED1C24,313
TORRE ARIAS,CANILLEJAS,5,#8FD400,313
VALDEZARZA,FRANCOS RODRIGUEZ,7,#EE7518,314
FRANCOS RODRIGUEZ,VALDEZARZA,7,#EE7518,314
TETUAN,ESTRECHO,1,#2DBEF0,314
ESTRECHO,TETUAN,1,#2DBEF0,314
PLAZA ELIPTICA,ABRANTES,11,#009B3A,316
ABRANTES,PLAZA ELIPTICA,11,#009B3A,316
BEGOÑA,FUENCARRAL,10,#005AA9,316
FUENCARRAL,BEGOÑA,10,#005AA9,316
PARQUE LISBOA,PUERTA DEL SUR,12,#A49800,317
PUERTA DEL SUR,PARQUE LISBOA,12,#A49800,317
PUERTA DEL SUR,SAN NICASIO,12,#A49800,317
SAN NICASIO,PUERTA DEL SUR,12,#A49800,317
VENTILLA,BARRIO DEL PILAR,9,#A60084,317
BARRIO DEL PILAR,VENTILLA,9,#A60084,317
LOS ESPARTALES,EL CASAR,12,#A49800,317
EL CASAR,LOS ESPARTALES,12,#A49800,317
PRINCIPE PIO,PUERTA DEL ANGEL,6,#98989B,318
CASA DEL RELOJ,HOSPITAL SEVERO OCHOA,12,#A49800,319
CONGOSTO,VILLA DE VALLECAS,1,#2DBEF0,319
HOSPITAL SEVERO OCHOA,CASA DEL RELOJ,12,#A49800,319
VILLA DE VALLECAS,CONGOSTO,1,#2DBEF0,319
MIRASIERRA,HERRERA ORIA,9,#A60084,320
HERRERA ORIA,MIRASIERRA,9,#A60084,320
LACOMA,PITIS,7,#EE7518,323
PITIS,LACOMA,7,#EE7518,323
MONCLOA,CIUDAD UNIVERSITARIA,6,#98989B,327
CARABANCHEL ALTO,SAN FRANCISCO,11,#009B3A,328
SAN FRANCISCO,CARABANCHEL ALTO,11,#009B3A,328
PRINCIPE PIO,LAGO,10,#005AA9,329
LAGO,PRINCIPE PIO,10,#005AA9,329
ARROYO CULEBRO,CONSERVATORIO,12,#A49800,330
CONSERVATORIO,ARROYO CULEBRO,12,#A49800,330
PRINCIPE PIO,ARGÜELLES,6,#98989B,331
PRADILLO,HOSPITAL DE MOSTOLES,12,#A49800,332
HOSPITAL DE MOSTOLES,PRADILLO,12,#A49800,332
JULIAN BESTEIRO,EL CARRASCAL,12,#A49800,332
EL CARRASCAL,JULIAN BESTEIRO,12,#A49800,332
SAN NICASIO,LEGANES CENTRAL,12,#A49800,336
LEGANES CENTRAL,SAN NICASIO,12,#A49800,336
MANOTERAS,HORTALEZA,4,#B65518,338
HORTALEZA,MANOTERAS,4,#B65518,338
LEGANES CENTRAL,HOSPITAL SEVERO OCHOA,12,#A49800,338
HOSPITAL SEVERO OCHOA,LEGANES CENTRAL,12,#A49800,338
CIUDAD UNIVERSITARIA,MONCLOA,6,#98989B,342
CAMPAMENTO,CASA DE CAMPO,5,#8FD400,343
CASA DE CAMPO,CAMPAMENTO,5,#8FD400,343
ALONSO DE MENDOZA,CONSERVATORIO,12,#A49800,345
CONSERVATORIO,ALONSO DE MENDOZA,12,#A49800,345
ISLAS FILIPINAS,GUZMAN EL BUENO,7,#EE7518,346
ARGÜELLES,PRINCIPE PIO,6,#98989B,346
LOS ESPARTALES,EL BERCIAL,12,#A49800,346
GUZMAN EL BUENO,ISLAS FILIPINAS,7,#EE7518,346
EL BERCIAL,LOS ESPARTALES,12,#A49800,346
PARQUE LISBOA,ALCORCON CENTRAL,12,#A49800,347
ALCORCON CENTRAL,PARQUE LISBOA,12,#A49800,347
LA MORALEJA,LA GRANJA,10,#005AA9,349
LA GRANJA,LA MORALEJA,10,#005AA9,349
